Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
506	0.009001	0.070703	0.017990	0.013237	0.010759
507	0.009001	0.070703	0.018353	0.013410	0.010847
508	0.009001	0.070703	0.017663	0.013078	0.010700
509	0.009001	0.070703	0.017649	0.013048	0.010680
510	0.009001	0.070703	0.017927	0.013210	0.010758
511	0.009001	0.070703	0.018039	0.013257	0.010788
512	0.009001	0.070703	0.017820	0.013155	0.010730
513	0.009001	0.070703	0.017982	0.013221	0.010758
514	0.009001	0.070703	0.018335	0.013415	0.010847
515	0.009001	0.070703	0.018019	0.013237	0.010768
516	0.009001	0.070703	0.016582	0.012536	0.010494
517	0.009001	0.070703	0.017399	0.012945	0.010641
518	0.009001	0.070703	0.017656	0.013063	0.010700
519	0.009001	0.070703	0.016814	0.012644	0.010504
520	0.009001	0.070703	0.017053	0.012766	0.010583
521	0.009001	0.070703	0.017292	0.012888	0.010611
522	0.009001	0.070703	0.016941	0.012720	0.010553
523	0.009001	0.070703	0.016826	0.012648	0.010503
524	0.009001	0.070703	0.016412	0.012453	0.010434
525	0.009001	0.070703	0.016777	0.012628	0.010524
526	0.009001	0.070703	0.016669	0.012572	0.010474
527	0.009001	0.070703	0.016607	0.012546	0.010494
528	0.009001	0.070703	0.016652	0.012577	0.010494
529	0.009001	0.070703	0.016480	0.012470	0.010445
530	0.009001	0.070703	0.016582	0.012536	0.010494
531	0.009001	0.070703	0.016457	0.012484	0.010464
532	0.009001	0.070703	0.016285	0.012378	0.010415
533	0.009001	0.070703	0.016268	0.012382	0.010406
534	0.009001	0.070703	0.016657	0.012567	0.010494
535	0.009001	0.070703	0.015909	0.012199	0.010327
536	0.009001	0.070703	0.016714	0.012602	0.010494
537	0.009001	0.070703	0.015859	0.012178	0.010347
538	0.009001	0.070703	0.016009	0.012240	0.010357
539	0.009001	0.070703	0.016218	0.012362	0.010406
540	0.009001	0.070703	0.015401	0.011952	0.010229
541	0.009001	0.070703	0.015601	0.012035	0.010268
542	0.009001	0.070703	0.015640	0.012075	0.010288
543	0.009001	0.070703	0.015205	0.011836	0.010180
544	0.009001	0.070703	0.015834	0.012167	0.010317
545	0.009001	0.070703	0.015245	0.011876	0.010200
546	0.009001	0.070703	0.015777	0.012132	0.010298
547	0.009001	0.070703	0.015426	0.011963	0.010259
548	0.009001	0.070703	0.015419	0.011948	0.010239
549	0.009001	0.070703	0.015464	0.011978	0.010259
550	0.009001	0.070703	0.015376	0.011943	0.010230
551	0.009001	0.070703	0.014985	0.011733	0.010150
552	0.009001	0.070703	0.015219	0.011866	0.010200
553	0.009001	0.070703	0.014841	0.011662	0.010121
554	0.009001	0.070703	0.015207	0.011861	0.010200
555	0.009001	0.070703	0.014564	0.011524	0.010062
556	0.009001	0.070703	0.015621	0.012055	0.010288
557	0.009001	0.070703	0.014671	0.011579	0.010062
558	0.009001	0.070703	0.014811	0.011661	0.010113
559	0.009001	0.070703	0.014741	0.011620	0.010092
560	0.009001	0.070703	0.014546	0.011528	0.010053
561	0.009001	0.070703	0.014658	0.011574	0.010062
562	0.009001	0.070703	0.014924	0.011708	0.010141
563	0.009001	0.070703	0.014684	0.011585	0.010092
564	0.009001	0.070703	0.014378	0.011447	0.010024
565	0.009001	0.070703	0.014320	0.011411	0.010003
566	0.009001	0.070703	0.014006	0.011257	0.009964
567	0.009001	0.070703	0.014407	0.011447	0.010033
568	0.009001	0.070703	0.014522	0.011518	0.010053
569	0.009001	0.070703	0.014093	0.011293	0.009944
570	0.009001	0.070703	0.014151	0.011329	0.009994
571	0.009001	0.070703	0.014118	0.011304	0.009974
572	0.009001	0.070703	0.014327	0.011426	0.010023
573	0.009001	0.070703	0.014012	0.011248	0.009944
574	0.009001	0.070703	0.014069	0.011283	0.009945
575	0.009001	0.070703	0.014378	0.011447	0.010024
576	0.009001	0.070703	0.013949	0.011221	0.009915
577	0.009001	0.070703	0.014378	0.011447	0.010024
578	0.009001	0.070703	0.014080	0.011288	0.009944
579	0.009001	0.070703	0.013912	0.011207	0.009936
580	0.009001	0.070703	0.013993	0.011252	0.009944
581	0.009001	0.070703	0.013585	0.011048	0.009876
582	0.009001	0.070703	0.013214	0.010858	0.009768
583	0.009001	0.070703	0.014118	0.011304	0.009974
584	0.009001	0.070703	0.013994	0.011252	0.009964
585	0.009001	0.070703	0.013610	0.011058	0.009857
586	0.009001	0.070703	0.013655	0.011089	0.009877
587	0.009001	0.070703	0.013685	0.011089	0.009886
588	0.009001	0.070703	0.013383	0.010940	0.009826
589	0.009001	0.070703	0.013511	0.011017	0.009847
590	0.009001	0.070703	0.013082	0.010792	0.009739
591	0.009001	0.070703	0.013800	0.011160	0.009906
592	0.009001	0.070703	0.013528	0.011012	0.009856
593	0.009001	0.070703	0.013082	0.010792	0.009739
594	0.009001	0.070703	0.013573	0.011042	0.009876
595	0.009001	0.070703	0.012888	0.010700	0.009710
596	0.009001	0.070703	0.013107	0.010802	0.009768
597	0.009001	0.070703	0.013139	0.010828	0.009788
598	0.009001	0.070703	0.012793	0.010649	0.009679
599	0.009001	0.070703	0.012743	0.010629	0.009680
600	0.009001	0.070703	0.013246	0.010883	0.009788
601	0.009001	0.070703	0.012699	0.010598	0.009680
602	0.009001	0.070703	0.012731	0.010623	0.009680
603	0.009001	0.070703	0.012719	0.010618	0.009700
604	0.009001	0.070703	0.012988	0.010741	0.009739
605	0.009001	0.070703	0.012850	0.010684	0.009709
606	0.009001	0.070703	0.012863	0.010690	0.009729
607	0.009001	0.070703	0.012937	0.010720	0.009709
608	0.009001	0.070703	0.012913	0.010711	0.009710
609	0.009001	0.070703	0.012681	0.010602	0.009700
610	0.009001	0.070703	0.012504	0.010505	0.009621
611	0.009001	0.070703	0.012818	0.010659	0.009709
612	0.009001	0.070703	0.012668	0.010597	0.009670
613	0.009001	0.070703	0.012673	0.010588	0.009680
614	0.009001	0.070703	0.012731	0.010623	0.009680
615	0.009001	0.070703	0.012285	0.010403	0.009612
616	0.009001	0.070703	0.012529	0.010516	0.009650
617	0.009001	0.070703	0.012491	0.010500	0.009621
618	0.009001	0.070703	0.012636	0.010572	0.009650
619	0.009001	0.070703	0.012462	0.010500	0.009642
620	0.009001	0.070703	0.012227	0.010368	0.009592
621	0.009001	0.070703	0.012516	0.010511	0.009650
622	0.009001	0.070703	0.012235	0.010382	0.009582
623	0.009001	0.070703	0.012347	0.010429	0.009592
624	0.009001	0.070703	0.012648	0.010577	0.009650
625	0.009001	0.070703	0.012095	0.010301	0.009562
626	0.009001	0.070703	0.011872	0.010208	0.009543
627	0.009001	0.070703	0.012115	0.010321	0.009562
628	0.009001	0.070703	0.012158	0.010327	0.009563
