Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
248	0.056002	0.086484	0.771211	0.281918	0.199670
249	0.056002	0.086484	0.757934	0.277667	0.196870
250	0.056002	0.086484	0.756032	0.276983	0.196415
251	0.056002	0.086484	0.750383	0.275211	0.195331
252	0.056002	0.086484	0.738635	0.272196	0.193496
253	0.056002	0.086484	0.730254	0.269464	0.191609
254	0.056002	0.086484	0.730372	0.269581	0.191726
255	0.056002	0.086484	0.709589	0.262697	0.187321
256	0.056002	0.086484	0.717503	0.265238	0.189039
257	0.056002	0.086484	0.706228	0.261606	0.186640
258	0.056002	0.086484	0.705236	0.261391	0.186583
259	0.056002	0.086484	0.704180	0.260885	0.186294
260	0.056002	0.086484	0.691466	0.256756	0.183547
261	0.056002	0.086484	0.668616	0.249242	0.178918
262	0.056002	0.086484	0.686032	0.255030	0.182638
263	0.056002	0.086484	0.665650	0.248326	0.178234
264	0.056002	0.086484	0.659483	0.246255	0.177032
265	0.056002	0.086484	0.668006	0.249019	0.178749
266	0.056002	0.086484	0.652163	0.244847	0.176006
267	0.056002	0.086484	0.651457	0.244695	0.175952
268	0.056002	0.086484	0.633354	0.238662	0.172057
269	0.056002	0.086484	0.643382	0.241934	0.174288
270	0.056002	0.086484	0.639477	0.240632	0.173431
271	0.056002	0.086484	0.626154	0.236279	0.170686
272	0.056002	0.086484	0.621327	0.234777	0.169658
273	0.056002	0.086484	0.615660	0.232816	0.168459
274	0.056002	0.086484	0.602809	0.228660	0.165716
275	0.056002	0.086484	0.603064	0.228804	0.165830
276	0.056002	0.086484	0.588805	0.224069	0.162801
277	0.056002	0.086484	0.579343	0.220918	0.160912
278	0.056002	0.086484	0.594028	0.225747	0.163998
279	0.056002	0.086484	0.583929	0.222459	0.161767
280	0.056002	0.086484	0.579601	0.221067	0.160913
281	0.056002	0.086484	0.571929	0.218488	0.159369
282	0.056002	0.086484	0.567619	0.218097	0.159026
283	0.056002	0.086484	0.559123	0.215247	0.157311
284	0.056002	0.086484	0.558766	0.215168	0.157137
285	0.056002	0.086484	0.545234	0.210774	0.154395
286	0.056002	0.086484	0.546553	0.211149	0.154736
287	0.056002	0.086484	0.541682	0.209544	0.153708
288	0.056002	0.086484	0.535987	0.207670	0.152508
289	0.056002	0.086484	0.527326	0.204880	0.150624
290	0.056002	0.086484	0.517889	0.201643	0.148618
291	0.056002	0.086484	0.513789	0.200480	0.147877
292	0.056002	0.086484	0.511955	0.199807	0.147534
293	0.056002	0.086484	0.512850	0.200093	0.147706
294	0.056002	0.086484	0.500142	0.195968	0.144965
295	0.056002	0.086484	0.508731	0.198742	0.146848
296	0.056002	0.086484	0.501532	0.196359	0.145306
297	0.056002	0.086484	0.495271	0.194364	0.143936
298	0.056002	0.086484	0.491290	0.193040	0.143074
299	0.056002	0.086484	0.489244	0.192324	0.142617
300	0.056002	0.086484	0.475617	0.188814	0.140504
301	0.056002	0.086484	0.476907	0.189275	0.140845
302	0.056002	0.086484	0.473469	0.188163	0.139987
303	0.056002	0.086484	0.462151	0.184430	0.137758
304	0.056002	0.086484	0.469920	0.186939	0.139188
305	0.056002	0.086484	0.456857	0.182736	0.136561
306	0.056002	0.086484	0.459823	0.183651	0.137245
307	0.056002	0.086484	0.454595	0.181968	0.136043
308	0.056002	0.086484	0.439344	0.177017	0.132957
309	0.056002	0.086484	0.437250	0.176195	0.132495
