Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
468	0.034718	0.054072	0.223284	0.043027
469	0.034718	0.054072	0.218304	0.038071
470	0.034718	0.054072	0.232386	0.052140
471	0.034718	0.054072	0.218304	0.036675
472	0.034718	0.054072	0.218733	0.039904
473	0.034718	0.054072	0.216912	0.036669
474	0.034718	0.054072	0.221641	0.040906
475	0.034718	0.054072	0.216912	0.037143
476	0.034718	0.054072	0.222679	0.042434
477	0.034718	0.054072	0.217390	0.036087
478	0.034718	0.054072	0.224196	0.045057
479	0.034718	0.054072	0.216302	0.036075
480	0.034718	0.054072	0.217518	0.037287
481	0.034718	0.054072	0.239973	0.059758
482	0.034718	0.054072	0.218302	0.038077
483	0.034718	0.054072	0.218733	0.038524
484	0.034718	0.054072	0.216912	0.036742
485	0.034718	0.054072	0.221163	0.040948
486	0.034718	0.054072	0.216304	0.036145
487	0.034718	0.054072	0.217520	0.037388
488	0.034718	0.054072	0.221766	0.041551
489	0.034718	0.054072	0.216912	0.036743
490	0.034718	0.054072	0.224196	0.044001
491	0.034718	0.054072	0.216304	0.036189
492	0.034718	0.054072	0.217520	0.037403
493	0.034718	0.054072	0.247557	0.067398
494	0.034718	0.054072	0.216912	0.036767
495	0.034718	0.054072	0.219643	0.039528
496	0.034718	0.054072	0.216304	0.036130
497	0.034718	0.054072	0.217520	0.037423
498	0.034718	0.054072	0.219771	0.039678
499	0.034718	0.054072	0.216302	0.036199
500	0.034718	0.054072	0.217520	0.037415
501	0.034718	0.054072	0.221768	0.041557
502	0.034718	0.054072	0.216912	0.036769
503	0.034718	0.054072	0.216432	0.036238
504	0.034718	0.054072	0.223282	0.043076
505	0.034718	0.054072	0.216910	0.036750
506	0.034718	0.054072	0.216432	0.036279
507	0.034718	0.054072	0.255143	0.074927
508	0.034718	0.054072	0.216912	0.035653
509	0.034718	0.054072	0.216430	0.037283
510	0.034718	0.054072	0.218733	0.038492
511	0.034718	0.054072	0.215822	0.035572
512	0.034718	0.054072	0.217518	0.054986
513	0.034718	0.054072	0.220251	0.039528
514	0.034718	0.054072	0.215824	0.036088
515	0.034718	0.054072	0.217518	0.035877
516	0.034718	0.054072	0.221289	0.042447
517	0.034718	0.054072	0.216302	0.035279
518	0.034718	0.054072	0.216128	0.036685
519	0.034718	0.054072	0.224196	0.036189
520	0.034718	0.054072	0.215518	0.043058
521	0.034718	0.054072	0.215822	0.035610
522	0.034718	0.054072	0.217520	0.035968
523	0.034718	0.054072	0.831202	0.652384
524	0.034718	0.054072	0.215520	0.035281
525	0.034718	0.054072	0.216910	0.036748
526	0.034718	0.054072	0.216430	0.036268
527	0.034718	0.054072	0.218731	0.038057
528	0.034718	0.054072	0.215822	0.036094
529	0.034718	0.054072	0.216128	0.035972
530	0.034718	0.054072	0.221163	0.036255
531	0.034718	0.054072	0.215518	0.040066
532	0.034718	0.054072	0.215822	0.035654
533	0.034718	0.054072	0.216126	0.035964
534	0.034718	0.054072	0.222680	0.042521
535	0.034718	0.054072	0.215520	0.035372
536	0.034718	0.054072	0.215822	0.035666
537	0.034718	0.054072	0.217518	0.035978
538	0.034718	0.054072	0.222802	0.044050
539	0.034718	0.054072	0.215518	0.035378
540	0.034718	0.054072	0.215822	0.035686
541	0.034718	0.054072	0.216126	0.035976
542	0.034718	0.054072	0.216430	0.036296
543	0.034718	0.054072	0.232388	0.051769
544	0.034718	0.054072	0.215824	0.036150
545	0.034718	0.054072	0.216128	0.035992
546	0.034718	0.054072	0.216430	0.036290
547	0.034718	0.054072	0.218253	0.038109
548	0.034718	0.054072	0.215518	0.035394
549	0.034718	0.054072	0.215822	0.035688
550	0.034718	0.054072	0.216126	0.036002
551	0.034718	0.054072	0.221163	0.036298
552	0.034718	0.054072	0.215518	0.039645
553	0.034718	0.054072	0.215822	0.035384
554	0.034718	0.054072	0.216126	0.035702
555	0.034718	0.054072	0.216432	0.037378
556	0.034718	0.054072	0.221286	0.041169
557	0.034718	0.054072	0.215518	0.035371
558	0.034718	0.054072	0.215822	0.035698
559	0.034718	0.054072	0.216128	0.036004
560	0.034718	0.054072	0.216430	0.036302
561	0.034718	0.054072	0.222804	0.042684
562	0.034718	0.054072	0.215518	0.034837
563	0.034718	0.054072	0.215822	0.035321
564	0.034718	0.054072	0.216126	0.035704
565	0.034718	0.054072	0.216432	0.035926
566	0.034718	0.054072	0.215040	0.036236
567	0.034718	0.054072	0.239493	0.059369
568	0.034718	0.054072	0.215518	0.035324
569	0.034718	0.054072	0.215822	0.035643
570	0.034718	0.054072	0.216128	0.035921
571	0.034718	0.054072	0.216430	0.036225
572	0.034718	0.054072	0.218251	0.038065
573	0.034718	0.054072	0.215518	0.035313
574	0.034718	0.054072	0.215040	0.035696
575	0.034718	0.054072	0.215822	0.034837
576	0.034718	0.054072	0.216126	0.053655
577	0.034718	0.054072	0.216430	0.036236
578	0.034718	0.054072	0.219771	0.039574
579	0.034718	0.054072	0.215520	0.035331
580	0.034718	0.054072	0.215824	0.035621
581	0.034718	0.054072	0.215040	0.034837
582	0.034718	0.054072	0.216126	0.035929
583	0.034718	0.054072	0.216430	0.036241
584	0.034718	0.054072	0.221289	0.041091
585	0.034718	0.054072	0.215518	0.035327
586	0.034718	0.054072	0.215038	0.034845
587	0.034718	0.054072	0.215822	0.035639
588	0.034718	0.054072	0.216128	0.035928
589	0.034718	0.054072	0.216432	0.036224
590	0.034718	0.054072	0.215040	0.034842
591	0.034718	0.054072	0.222802	0.042598
592	0.034718	0.054072	0.215518	0.035330
593	0.034718	0.054072	0.215824	0.035630
594	0.034718	0.054072	0.215040	0.034844
595	0.034718	0.054072	0.216126	0.035932
596	0.034718	0.054072	0.216430	0.036250
597	0.034718	0.054072	0.215038	0.034835
598	0.034718	0.054072	0.247077	0.066882
599	0.034718	0.054072	0.215520	0.035323
600	0.034718	0.054072	0.215040	0.034847
601	0.034718	0.054072	0.215822	0.035619
602	0.034718	0.054072	0.216128	0.035915
603	0.034718	0.054072	0.215038	0.034820
