Query	Adaptive Merging	Lazy Adaptive Merging	Adaptive Merging	Lazy Adaptive Merging
97	0.607544	0.672658	0.745286	0.668902
98	0.607544	0.672658	0.754662	0.678208
99	0.607544	0.672658	0.904604	0.828234
100	0.607544	0.672658	0.719929	0.643545
101	0.607544	0.672658	0.731180	0.654796
102	0.607544	0.672658	0.742432	0.666076
103	0.607544	0.672658	0.698323	0.621841
104	0.607544	0.672658	0.748057	0.671603
105	0.607544	0.672658	0.943871	0.867487
106	0.607544	0.672658	0.698323	0.621841
107	0.607544	0.672658	0.715200	0.638816
108	0.607544	0.672658	0.695468	0.619084
109	0.607544	0.672658	0.724576	0.648136
110	0.607544	0.672658	0.703948	0.619014
111	0.607544	0.672658	0.725472	0.657582
112	0.607544	0.672658	0.695468	0.619028
113	0.607544	0.672658	0.740473	0.664061
114	0.607544	0.672658	0.691718	0.615292
115	0.607544	0.672658	0.699219	0.622835
116	0.607544	0.672658	1.447072	1.370744
117	0.607544	0.672658	0.695468	0.619028
118	0.607544	0.672658	0.712345	0.635933
119	0.607544	0.672658	0.686988	0.610646
120	0.607544	0.672658	0.695468	0.619098
121	0.607544	0.672658	0.692614	0.616202
122	0.607544	0.672658	0.716096	0.639628
123	0.607544	0.672658	0.688864	0.612410
124	0.607544	0.672658	0.690739	0.614257
125	0.607544	0.672658	0.731097	0.654615
126	0.607544	0.672658	0.686988	0.610506
127	0.607544	0.672658	0.688864	0.612368
128	0.607544	0.672658	0.690739	0.627739
129	0.607544	0.672658	0.692614	0.616160
130	0.607544	0.672658	0.731993	0.655511
131	0.607544	0.672658	0.686988	0.610492
132	0.607544	0.672658	0.684134	0.607638
133	0.607544	0.672658	0.688864	0.612368
134	0.607544	0.672658	0.690739	0.614313
135	0.607544	0.672658	0.692614	0.616174
136	0.607544	0.672658	0.684134	0.607708
137	0.607544	0.672658	0.788234	0.711780
138	0.607544	0.672658	0.686988	0.610492
139	0.607544	0.672658	0.684134	0.607694
140	0.607544	0.672658	0.688864	0.612438
141	0.607544	0.672658	0.684134	0.607694
142	0.607544	0.672658	0.690739	0.614229
143	0.607544	0.672658	0.684134	0.607680
144	0.607544	0.672658	0.692614	0.616118
145	0.607544	0.672658	0.684134	0.607666
146	0.607544	0.672658	0.684134	0.607694
147	0.607544	0.672658	0.703865	0.627355
148	0.607544	0.672658	0.684134	0.607624
149	0.607544	0.672658	0.684134	0.607652
150	0.607544	0.672658	0.686988	0.610506
151	0.607544	0.672658	0.684134	0.607666
152	0.607544	0.672658	0.684134	0.607694
153	0.607544	0.672658	0.688864	0.612424
154	0.607544	0.672658	0.684134	0.607792
155	0.607544	0.672658	0.684134	0.607764
156	0.607544	0.672658	0.684134	0.607792
157	0.607544	0.672658	0.690739	0.614397
158	0.607544	0.672658	0.684134	0.607708
159	0.607544	0.672658	0.684134	0.607792
160	0.607544	0.672658	0.684134	0.607820
161	0.607544	0.672658	0.684134	0.607708
162	0.607544	0.672658	0.692614	0.616188
163	0.607544	0.672658	0.684134	0.607736
164	0.607544	0.672658	0.684134	0.607722
165	0.607544	0.672658	0.684134	0.607736
166	0.607544	0.672658	0.684134	0.607736
167	0.607544	0.672658	0.684134	0.607764
168	0.607544	0.672658	0.684134	0.607750
169	0.607544	0.672658	0.713241	0.636871
170	0.607544	0.672658	0.684134	0.607750
171	0.607544	0.672658	0.684134	0.607778
172	0.607544	0.672658	0.684134	0.607764
173	0.607544	0.672658	0.684134	0.607778
174	0.607544	0.672658	0.684134	0.607764
175	0.607544	0.672658	0.684134	0.607666
176	0.607544	0.672658	0.684134	0.607687
177	0.607544	0.672658	0.684134	0.607680
178	0.607544	0.672658	0.684134	0.607666
179	0.607544	0.672658	0.686988	0.610534
180	0.607544	0.672658	0.684134	0.607680
181	0.607544	0.672658	0.688864	0.612424
