Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
221	0.121520	0.189336	0.314941	0.292349
222	0.121520	0.189336	0.550246	0.450604
223	0.121520	0.189336	0.353424	0.293819
224	0.121520	0.189336	0.569865	0.510246
225	0.121520	0.189336	0.374961	0.321779
226	0.121520	0.189336	0.836012	0.774203
227	0.121520	0.189336	0.456545	0.391608
228	0.121520	0.189336	0.312086	0.290244
229	0.121520	0.189336	0.494915	0.397807
230	0.121520	0.189336	0.346833	0.288075
231	0.121520	0.189336	0.523924	0.464970
232	0.121520	0.189336	0.325213	0.274921
233	0.121520	0.189336	0.567010	0.504096
234	0.121520	0.189336	0.378698	0.314762
235	0.121520	0.189336	1.037437	0.977832
236	0.121520	0.189336	0.367363	0.312293
237	0.121520	0.189336	0.381468	0.320632
238	0.121520	0.189336	0.370218	0.312167
239	0.121520	0.189336	0.425450	0.375837
240	0.121520	0.189336	0.367363	0.303568
241	0.121520	0.189336	0.475155	0.413731
242	0.121520	0.189336	0.367363	0.308892
243	0.121520	0.189336	0.515401	0.456916
244	0.121520	0.189336	0.326109	0.267309
245	0.121520	0.189336	1.305375	1.250802
246	0.121520	0.189336	0.318608	0.258214
247	0.121520	0.189336	0.410478	0.352860
248	0.121520	0.189336	0.330755	0.273033
249	0.121520	0.189336	0.445098	0.387285
250	0.121520	0.189336	0.297002	0.239021
251	0.121520	0.189336	0.336381	0.278344
252	0.121520	0.189336	0.469446	0.411171
253	0.121520	0.189336	0.358883	0.287861
254	0.121520	0.189336	0.507817	0.436809
255	0.121520	0.189336	0.313878	0.242898
256	0.121520	0.189336	1.519913	1.466892
257	0.121520	0.189336	0.297002	0.221103
258	0.121520	0.189336	0.329790	0.258593
259	0.121520	0.189336	0.367265	0.296481
260	0.121520	0.189336	0.311024	0.240415
261	0.121520	0.189336	0.442243	0.371389
262	0.121520	0.189336	0.292272	0.221418
263	0.121520	0.189336	0.329776	0.259041
264	0.121520	0.189336	0.456251	0.390868
265	0.121520	0.189336	0.311038	0.235671
266	0.121520	0.189336	0.533090	0.464083
267	0.121520	0.189336	0.292272	0.216289
268	0.121520	0.189336	0.281917	0.255702
269	0.121520	0.189336	2.431255	2.317031
270	0.121520	0.189336	0.292286	0.207632
271	0.121520	0.189336	0.323185	0.247284
272	0.121520	0.189336	0.362535	0.286872
273	0.121520	0.189336	0.308184	0.232143
274	0.121520	0.189336	0.282813	0.206681
275	0.121520	0.189336	0.407511	0.331421
276	0.121520	0.189336	0.303440	0.227294
277	0.121520	0.189336	0.291293	0.215161
278	0.121520	0.189336	0.445881	0.369777
279	0.121520	0.189336	0.303440	0.230232
280	0.121520	0.189336	0.291293	0.212376
281	0.121520	0.189336	0.492732	0.416446
282	0.121520	0.189336	0.303440	0.227196
283	0.121520	0.189336	0.282813	0.206457
284	0.121520	0.189336	0.777645	0.701289
285	0.121520	0.189336	0.269686	0.193330
286	0.121520	0.189336	0.314691	0.238587
287	0.121520	0.189336	0.339964	0.263874
288	0.121520	0.189336	0.277201	0.201139
289	0.121520	0.189336	0.274333	0.198327
290	0.121520	0.189336	0.427159	0.351153
291	0.121520	0.189336	0.255581	0.179575
292	0.121520	0.189336	0.291210	0.215050
293	0.121520	0.189336	0.279958	0.212404
294	0.121520	0.189336	0.446777	0.365006
295	0.121520	0.189336	0.264061	0.185018
296	0.121520	0.189336	0.315587	0.239357
297	0.121520	0.189336	0.473001	0.396757
298	0.121520	0.189336	0.255595	0.179281
299	0.121520	0.189336	0.288355	0.212321
300	0.121520	0.189336	0.276208	0.200160
301	0.121520	0.189336	0.995933	0.919913
302	0.121520	0.189336	0.269603	0.193569
303	0.121520	0.189336	0.266832	0.190826
304	0.121520	0.189336	0.275229	0.199223
305	0.121520	0.189336	0.353076	0.277070
306	0.121520	0.189336	0.252740	0.176356
307	0.121520	0.189336	0.263978	0.187608
308	0.121520	0.189336	0.283709	0.198873
309	0.121520	0.189336	0.391447	0.303839
310	0.121520	0.189336	0.249872	0.193247
311	0.121520	0.189336	0.262102	0.185746
312	0.121520	0.189336	0.273354	0.197012
