Testing levelRatio	Bulkload sandbox ex5 : startingEntriesInIndex = 0 entriesToInsert = 10000000 bulkloadPackageNumEntries = [50000 - 100000] rsearches = 20 sel = 0.010000 indexesParams = { bufferSize = 2097152 ssTableSize = 2097152 levelRatio = {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15} } table = DBTable { .name = TPC-C Warehouse .sizeKey = 8 .sizeData = 105 .sizeRecord = 113 .columnsSize = { 8,10,20,20,20,2,9,8,16 } }
BulkloadTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
9	56.378840	56.908040	62.857760	65.654960	65.654960	65.654960	65.654960	76.443080	110.175800	125.469680	55.902560	55.910120
10	56.469560	56.651000	61.459160	67.839800	67.839800	67.839800	67.839800	69.676880	80.752280	125.469680	55.857200	55.872320
11	56.522480	56.522480	59.433080	70.516040	70.138040	70.138040	70.138040	70.138040	73.373720	125.469680	55.804280	55.819400
12	56.598080	56.598080	58.593920	65.866640	73.222520	73.222520	73.222520	73.222520	73.222520	125.469680	55.766480	55.774040
13	56.651000	56.651000	57.860600	63.795200	76.186040	76.186040	76.186040	76.186040	76.186040	125.469680	55.713560	55.721120
14	56.779520	56.779520	57.316280	62.321000	76.276760	79.164680	79.164680	79.164680	79.164680	108.663800	55.653080	55.668200
15	56.794640	56.794640	57.029000	61.073600	70.954520	81.447800	81.447800	81.447800	81.447800	91.427000	55.585040	55.607720

TotalTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	95.400148	89.304542	86.968065	83.270376	84.091747	83.967290	83.241387	90.402998	86.433810	98.926138	104.062105	95.575646
3	89.212519	85.640113	80.369155	79.465514	79.465514	79.006836	78.928802	87.648737	100.726381	96.899969	96.851580	90.247249
4	87.877289	84.915165	81.715703	78.301278	79.443408	78.261166	79.147257	93.658199	96.512095	96.057693	96.694638	89.698593
5	91.406301	80.874672	80.874672	80.874672	80.504966	83.304284	83.304284	83.304284	82.286855	127.581202	99.660473	92.086976
6	93.985078	80.373984	79.636307	79.636307	79.636307	79.427287	88.295370	88.295370	88.295370	98.585995	99.621222	94.089409
7	95.495779	81.143125	79.517614	79.517614	79.517614	78.441573	89.539755	98.277180	98.277180	98.277180	101.306593	95.913517
8	98.028447	84.968107	82.698004	82.698004	82.698004	82.698004	79.565126	102.340358	125.552123	125.552123	107.049706	98.865450
9	94.359252	86.344212	80.005598	80.185110	80.185110	80.185110	80.185110	85.687438	115.799322	127.581202	106.097058	95.702410
10	94.132582	90.959482	79.607195	81.066364	81.066364	81.066364	81.066364	80.134916	87.536186	127.581202	108.391654	95.839706
11	93.850649	93.850649	80.636094	82.384182	81.093313	81.093313	81.093313	81.093313	81.816239	127.581202	109.733795	95.826810
12	94.915537	94.915537	79.045463	76.848252	81.750244	81.750244	81.750244	81.750244	81.750244	127.581202	110.776095	97.197533
13	97.435401	97.435401	84.864189	77.691724	85.833464	85.833464	85.833464	85.833464	85.833464	127.581202	116.401076	100.150471
14	95.241590	95.241590	86.674900	76.002018	84.272864	85.652757	85.652757	85.652757	85.652757	114.239725	116.048080	98.448781
15	96.049027	96.049027	93.626728	78.091625	81.086463	88.534668	88.534668	88.534668	88.534668	95.866275	119.595425	99.439308

Testing levelRatio	Bulkload sandbox ex5 : startingEntriesInIndex = 0 entriesToInsert = 10000000 bulkloadPackageNumEntries = [50000 - 100000] rsearches = 100 sel = 0.010000 indexesParams = { bufferSize = 2097152 ssTableSize = 2097152 levelRatio = {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15} } table = DBTable { .name = TPC-C Warehouse .sizeKey = 8 .sizeData = 105 .sizeRecord = 113 .columnsSize = { 8,10,20,20,20,2,9,8,16 } }
BulkloadTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	34.613828	27.505182	24.836065	19.475176	19.185227	13.080810	10.102027	8.758638	8.531650	4.301258	43.668905	34.872486
3	30.535439	26.380913	18.917555	18.407034	18.407034	11.000716	11.020962	9.156897	9.148181	4.316289	38.673460	31.933049
